LOCATION,CAR NAME,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
"Ogun State, Abeokuta North",Mercedes-Benz A-Class 2007 Silver,"3,675,000",Local Used,Manual,Manual
"Ogun State, Abeokuta North",Lexus RX 300 2002 Black,"3,675,000",Local Used,349349 km,Automatic
"Abuja (FCT), Gwagwalada",Toyota Corolla 2005 Gray,"5,200,000",Local Used,473543 km,Automatic
"Lagos State, Lekki",Mercedes-Benz GLE-Class 2018 Black,"52,000,000",Foreign Used,59640 km,Automatic
"Lagos State, Ilupeju",Toyota Camry 2.3 Hybrid 2007 Red,"7,280,000",Local Used,256097 km,Automatic
"Lagos State, Ilupeju",Toyota Camry 2012 Black,"14,560,000",Foreign Used,105239 km,Automatic
"Lagos State, Ajah",Toyota Corolla 2005 Gold,"4,725,000",Local Used,289430 km,Automatic
"Oyo State, Ibadan",Audi Q7 2007 Black,"14,700,000",Local Used,257627 km,Automatic
"Abuja (FCT), Jabi",Mercedes-Benz M Class 2009 Gray,"7,350,000",Local Used,331805 km,Automatic
"Lagos State, Ikeja",Honda Accord 2007 Gray,"2,535,750",Local Used,167112 km,Automatic
"Oyo State, Ibadan",Toyota Carina 1993 Black,"2,520,000",Local Used,265201 km,Manual
"Lagos State, Ikotun/Igando",Hyundai Santa Fe 2017 Gray,"15,750,000",Local Used,107508 km,Automatic
"Oyo State, Ibadan",Toyota Corolla 2004 Silver,"5,928,000",Local Used,133865 km,Automatic
"Abuja (FCT), Karu",Honda CR-V 2009 Black,"5,040,000",Local Used,213521 km,Automatic
"Abuja (FCT), Gwarinpa",Toyota Camry 2007 Gray,"7,280,000",Local Used,166355 km,Automatic
"Lagos State, Magodo",Toyota Corolla 2003 Blue,"4,011,000",Local Used,392585 km,Automatic
"Lagos State, Ogudu",Toyota Highlander 2018 Black,"24,150,000",Local Used,66959 km,Automatic
"Lagos State, Ikeja",Toyota Tacoma 2008 Silver,"12,792,000",Local Used,467090 km,Automatic
"Abuja (FCT), Karu",Toyota Highlander 2008 Black,"12,480,000",Local Used,102352 km,Automatic
"Abia State, Aba North",Lexus RX 300 2000 Gold,"3,360,000",Local Used,320781 km,Automatic
"Rivers State, Port-Harcourt",Mercedes-Benz C350 2008 White,"6,930,000",Local Used,Automatic,Automatic
"Abuja (FCT), Gudu",Honda Accord 2012 Black,"5,145,000",Local Used,269644 km,Automatic
"Lagos State, Isolo",Lexus RX 350 2010 White,"22,880,000",Foreign Used,100348 km,Automatic
"Lagos State, Ilupeju",Volkswagen Passat GLS Sedan 1998 Silver,"2,100,000",Local Used,273313 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Corolla 2010 Gray,"7,488,000",Local Used,372237 km,Automatic
"Lagos State, Abule Egba",Toyota Yaris 2008 Black,"3,375,000",Local Used,133512 km,Automatic
"Lagos State, Ikorodu",Hummer H3 2007 Blue,"7,875,000",Local Used,93214 km,Automatic
"Lagos State, Alimosho",Toyota Highlander 2004 Silver,"6,032,000",Local Used,318687 km,Automatic
"Lagos State, Isolo",Toyota Camry 2000 Black,"2,079,000",Local Used,174979 km,Automatic
"Oyo State, Ibadan",Skoda Rapid 2014 Gray,"3,675,000",Local Used,98453 km,Automatic
"Abuja (FCT), Karu",Honda Civic 2006 Gray,"3,659,250",Local Used,371309 km,Automatic
"Lagos State, Ilupeju",Toyota RAV4 2007 Gray,"7,350,000",Local Used,144902 km,Automatic
